ScripNo,underlyingScripNo,Instrument,symbol,tradeSymbol,MLot,expiryDate,StrikePrice,OptType
35145,157,OPTSTK,APOLLOHOSP,APOLLOHOSP17FEB820CE,400,2017-02-23,820,CE
35146,26000,OPTIDX,NIFTY,NIFTY17DEC11000CE,75,2017-12-28,11000,CE
35147,26000,OPTIDX,NIFTY,NIFTY17DEC11000PE,75,2017-12-28,11000,PE
35148,26000,OPTIDX,NIFTY,NIFTY18JUN11000CE,75,2018-06-28,11000,CE
35149,26000,OPTIDX,NIFTY,NIFTY18JUN11000PE,75,2018-06-28,11000,PE
35150,157,OPTSTK,APOLLOHOSP,APOLLOHOSP17FEB820PE,400,2017-02-23,820,PE
35151,193,OPTSTK,ARVIND,ARVIND17FEB500CE,2000,2017-02-23,500,CE
35152,193,OPTSTK,ARVIND,ARVIND17FEB500PE,2000,2017-02-23,500,PE
35153,26041,OPTIDX,NIFTYCPSE,NIFTYCPSE17MAR2500CE,250,2017-03-30,2500,CE
35154,26000,OPTIDX,NIFTY,NIFTY18DEC11000CE,75,2018-12-27,11000,CE
35155,26000,OPTIDX,NIFTY,NIFTY18DEC11000PE,75,2018-12-27,11000,PE
35156,26041,OPTIDX,NIFTYCPSE,NIFTYCPSE17MAR2500PE,250,2017-03-30,2500,PE
35157,26000,OPTIDX,NIFTY,NIFTY19JUN11000CE,75,2019-06-27,11000,CE
35158,26000,OPTIDX,NIFTY,NIFTY19JUN11000PE,75,2019-06-27,11000,PE
35159,26000,OPTIDX,NIFTY,NIFTY18JUN10700CE,75,2018-06-28,10700,CE
35160,26009,OPTIDX,BANKNIFTY,BANKNIFTY1732321200CE,40,2017-03-23,21200,CE
35161,212,OPTSTK,ASHOKLEY,ASHOKLEY17FEB112.5CE,7000,2017-02-23,112,CE
35162,26009,OPTIDX,BANKNIFTY,BANKNIFTY1732321200PE,40,2017-03-23,21200,PE
35163,26009,OPTIDX,BANKNIFTY,BANKNIFTY1732321300CE,40,2017-03-23,21300,CE
35164,26000,OPTIDX,NIFTY,NIFTY18JUN10700PE,75,2018-06-28,10700,PE
35165,26009,OPTIDX,BANKNIFTY,BANKNIFTY1732321300PE,40,2017-03-23,21300,PE
35166,212,OPTSTK,ASHOKLEY,ASHOKLEY17FEB112.5PE,7000,2017-02-23,112,PE
35167,26009,OPTIDX,BANKNIFTY,BANKNIFTY17MAR21200CE,40,2017-03-30,21200,CE
35168,26009,OPTIDX,BANKNIFTY,BANKNIFTY17MAR21200PE,40,2017-03-30,21200,PE
35169,275,OPTSTK,AUROPHARMA,AUROPHARMA17FEB1040CE,700,2017-02-23,1040,CE
35170,275,OPTSTK,AUROPHARMA,AUROPHARMA17FEB1040PE,700,2017-02-23,1040,PE
35171,275,OPTSTK,AUROPHARMA,AUROPHARMA17FEB1060CE,700,2017-02-23,1060,CE
35172,26009,OPTIDX,BANKNIFTY,BANKNIFTY17MAR21300CE,40,2017-03-30,21300,CE
35173,26009,OPTIDX,BANKNIFTY,BANKNIFTY17MAR21300PE,40,2017-03-30,21300,PE
35174,26000,OPTIDX,NIFTY,NIFTY18DEC10700CE,75,2018-12-27,10700,CE
35175,26000,OPTIDX,NIFTY,NIFTY18DEC10700PE,75,2018-12-27,10700,PE
35176,26039,OPTIDX,FTSE100,FTSE10017JUN7300CE,100,2017-06-16,7300,CE
35177,26000,OPTIDX,NIFTY,NIFTY19JUN10700CE,75,2019-06-27,10700,CE
35178,26000,OPTIDX,NIFTY,NIFTY19JUN10700PE,75,2019-06-27,10700,PE
35179,26009,OPTIDX,BANKNIFTY,BANKNIFTY17APR21200CE,40,2017-04-27,21200,CE
35180,26009,OPTIDX,BANKNIFTY,BANKNIFTY17APR21200PE,40,2017-04-27,21200,PE
35181,26039,OPTIDX,FTSE100,FTSE10017JUN7300PE,100,2017-06-16,7300,PE
35182,275,OPTSTK,AUROPHARMA,AUROPHARMA17FEB1060PE,700,2017-02-23,1060,PE
35183,16669,OPTSTK,BAJAJ-AUTO,BAJAJ-AUTO17FEB1600CE,250,2017-02-23,1600,CE
35184,16669,OPTSTK,BAJAJ-AUTO,BAJAJ-AUTO17FEB1600PE,250,2017-02-23,1600,PE
35185,317,OPTSTK,BAJFINANCE,BAJFINANCE17FEB1350CE,500,2017-02-23,1350,CE
35186,26008,OPTIDX,NIFTYIT,NIFTYIT17FEB12000CE,50,2017-02-23,12000,CE
35187,26008,OPTIDX,NIFTYIT,NIFTYIT17FEB12000PE,50,2017-02-23,12000,PE
35188,26009,OPTIDX,BANKNIFTY,BANKNIFTY17APR21300CE,40,2017-04-27,21300,CE
35189,26009,OPTIDX,BANKNIFTY,BANKNIFTY17APR21300PE,40,2017-04-27,21300,PE
35190,26000,OPTIDX,NIFTY,NIFTY17FEB10150CE,75,2017-02-23,10150,CE
35191,26000,OPTIDX,NIFTY,NIFTY17FEB10150PE,75,2017-02-23,10150,PE
35192,317,OPTSTK,BAJFINANCE,BAJFINANCE17FEB1350PE,500,2017-02-23,1350,PE
35193,26000,OPTIDX,NIFTY,NIFTY17MAR10150CE,75,2017-03-30,10150,CE
35194,26000,OPTIDX,NIFTY,NIFTY17MAR10150PE,75,2017-03-30,10150,PE
35195,26000,OPTIDX,NIFTY,NIFTY17APR10150CE,75,2017-04-27,10150,CE
35196,26000,OPTIDX,NIFTY,NIFTY17APR10150PE,75,2017-04-27,10150,PE
35197,26008,OPTIDX,NIFTYIT,NIFTYIT17MAR12000CE,50,2017-03-30,12000,CE
35198,317,OPTSTK,BAJFINANCE,BAJFINANCE17FEB1400CE,500,2017-02-23,1400,CE
35199,26008,OPTIDX,NIFTYIT,NIFTYIT17MAR12000PE,50,2017-03-30,12000,PE
35200,317,OPTSTK,BAJFINANCE,BAJFINANCE17FEB1400PE,500,2017-02-23,1400,PE
35201,4668,OPTSTK,BANKBARODA,BANKBARODA17FEB240CE,3500,2017-02-23,240,CE
35202,4668,OPTSTK,BANKBARODA,BANKBARODA17FEB240PE,3500,2017-02-23,240,PE
35203,371,OPTSTK,BATAINDIA,BATAINDIA17FEB610CE,1100,2017-02-23,610,CE
35204,371,OPTSTK,BATAINDIA,BATAINDIA17FEB610PE,1100,2017-02-23,610,PE
35205,395,OPTSTK,BEML,BEML17FEB1160CE,600,2017-02-23,1160,CE
35206,26000,OPTIDX,NIFTY,NIFTY17JUN9100CE,75,2017-06-29,9100,CE
35207,26000,OPTIDX,NIFTY,NIFTY17JUN9100PE,75,2017-06-29,9100,PE
35208,395,OPTSTK,BEML,BEML17FEB1160PE,600,2017-02-23,1160,PE
35209,19513,OPTSTK,BHARATFIN,BHARATFIN17FEB1020CE,1000,2017-02-23,1020,CE
35210,19513,OPTSTK,BHARATFIN,BHARATFIN17FEB1020PE,1000,2017-02-23,1020,PE
35211,422,OPTSTK,BHARATFORG,BHARATFORG17FEB540CE,600,2017-02-23,540,CE
35212,422,OPTSTK,BHARATFORG,BHARATFORG17FEB540PE,600,2017-02-23,540,PE
35213,11373,OPTSTK,BIOCON,BIOCON17FEB1280CE,600,2017-02-23,1280,CE
35214,11373,OPTSTK,BIOCON,BIOCON17FEB1280PE,600,2017-02-23,1280,PE
35215,7929,OPTSTK,CADILAHC,CADILAHC17FEB570CE,1600,2017-02-23,570,CE
35216,7929,OPTSTK,CADILAHC,CADILAHC17FEB570PE,1600,2017-02-23,570,PE
35217,1250,OPTSTK,CASTROLIND,CASTROLIND17FEB570CE,1400,2017-02-23,570,CE
35218,1250,OPTSTK,CASTROLIND,CASTROLIND17FEB570PE,1400,2017-02-23,570,PE
35219,26014,OPTIDX,NIFTYMID50,NIFTYMID5017MAR4500CE,200,2017-03-30,4500,CE
35220,26014,OPTIDX,NIFTYMID50,NIFTYMID5017MAR4500PE,200,2017-03-30,4500,PE
35221,26000,OPTIDX,NIFTY,NIFTY17DEC9100CE,75,2017-12-28,9100,CE
35222,26000,OPTIDX,NIFTY,NIFTY17DEC9100PE,75,2017-12-28,9100,PE
35223,1250,OPTSTK,CASTROLIND,CASTROLIND17FEB580CE,1400,2017-02-23,580,CE
35224,1250,OPTSTK,CASTROLIND,CASTROLIND17FEB580PE,1400,2017-02-23,580,PE
35225,625,OPTSTK,CENTURYTEX,CENTURYTEX17FEB1120CE,1100,2017-02-23,1120,CE
